participant,observation_count
s_001,14
s_002,14
s_003,14
s_004,14
s_006,14
s_007,14
s_008,14
s_009,14
s_011,14
s_012,14
s_013,14
s_015,14
s_016,14
s_017,14
s_019,14
s_020,14
s_021,14
s_022,14
s_024,14
s_025,14
s_026,14
s_027,14
s_028,14
s_030,14
s_032,14
s_034,14
s_036,14
s_038,14
s_039,14
s_040,14
s_041,14
s_042,14
s_043,14
s_044,14
s_045,14
s_046,14
s_047,14
s_048,14
s_049,14
s_050,14
s_051,14
s_052,14
s_054,14
s_055,14
s_056,14
s_057,14
s_058,14
s_059,14
s_060,14
s_061,14
s_063,14
s_064,14
s_065,14
s_066,14
s_067,14
s_068,14
s_069,14
s_070,14
s_071,14
s_073,14
s_074,14
s_075,14
s_076,14
s_077,14
s_078,14
s_079,14
s_080,14
s_081,14
s_082,14
s_083,14
s_085,14
s_086,14
s_087,14
s_088,14
s_089,14
s_090,14
s_091,14
s_092,14
s_093,14
s_094,14
s_095,14
s_098,14
sub_015,14
sub_026,14
sub_032,14
sub_054,14
sub_076,14
sub_080,14
sub_083,14
sub_089,14
sub_100,14
sub_1010,14
sub_1012,14
sub_1017,14
sub_1020,14
sub_1022,14
sub_1024,14
sub_118,14
sub_124,14
sub_140,14
sub_143,14
sub_1502,14
sub_154,14
sub_1557,14
sub_173,14
sub_184,14
sub_207,14
sub_212,14
sub_215,14
sub_217,14
sub_221,14
sub_227,14
sub_230,14
sub_256,14
sub_257,14
sub_258,14
sub_268,14
sub_287,14
sub_289,14
sub_303,14
sub_312,14
sub_324,14
sub_329,14
sub_330,14
sub_339,14
sub_345,14
sub_371,14
sub_385,14
sub_392,14
sub_401,14
sub_403,14
sub_405,14
sub_457,14
sub_458,14
sub_477,14
sub_487,14
sub_489,14
sub_496,14
sub_505,14
sub_512,14
sub_535,14
sub_571,14
sub_572,14
sub_584,14
sub_609,14
sub_667,14
sub_690,14
sub_692,14
sub_699,14
sub_706,14
sub_714,14
sub_725,14
sub_732,14
sub_736,14
sub_778,14
sub_788,14
sub_798,14
sub_803,14
sub_813,14
sub_818,14
sub_822,14
sub_828,14
sub_834,14
sub_872,14
sub_880,14
sub_899,14
sub_914,14
sub_916,14
sub_920,14
sub_921,14
sub_922,14
sub_925,14
sub_931,14
sub_936,14
sub_953,14
sub_969,14
sub_981,14
sub_987,14
sub_990,14
sub_996,14
sub_998,14
