participant,non-reversed,reversed
s_002,0.8888888888888888,0.8888888888888888
s_003,0.8888888888888888,0.7777777777777778
s_005,1.0,0.6666666666666666
s_006,1.0,0.7777777777777778
s_008,0.8888888888888888,0.7777777777777778
s_010,0.8888888888888888,0.6666666666666666
s_014,0.6666666666666666,0.7777777777777778
s_015,1.0,1.0
s_017,1.0,1.0
s_018,0.7777777777777778,0.6666666666666666
s_020,0.8888888888888888,1.0
s_021,1.0,0.8888888888888888
s_023,0.4444444444444444,0.7777777777777778
s_024,1.0,1.0
s_025,0.7777777777777778,0.8888888888888888
s_026,1.0,0.8888888888888888
s_027,0.7777777777777778,0.8888888888888888
s_028,1.0,1.0
s_029,0.8888888888888888,0.6666666666666666
s_030,0.8888888888888888,0.7777777777777778
s_031,0.4444444444444444,0.6666666666666666
s_032,0.8888888888888888,0.7777777777777778
s_033,1.0,0.6666666666666666
s_034,1.0,1.0
s_035,0.6666666666666666,0.8888888888888888
s_037,0.6666666666666666,0.7777777777777778
s_038,1.0,1.0
s_041,0.8888888888888888,1.0
s_043,1.0,0.8888888888888888
s_045,1.0,1.0
s_048,0.8888888888888888,0.8888888888888888
s_050,0.7777777777777778,1.0
s_051,0.7777777777777778,0.7777777777777778
s_053,0.4444444444444444,0.6666666666666666
s_054,0.8888888888888888,1.0
s_056,0.8888888888888888,0.7777777777777778
s_057,1.0,1.0
s_060,1.0,0.7777777777777778
s_062,1.0,0.6666666666666666
s_064,1.0,1.0
s_066,0.8888888888888888,0.8888888888888888
s_069,0.7777777777777778,1.0
s_070,1.0,0.7777777777777778
s_071,0.7777777777777778,0.8888888888888888
s_072,1.0,0.6666666666666666
s_074,0.8888888888888888,0.8888888888888888
s_077,0.8888888888888888,0.8888888888888888
s_080,0.8888888888888888,0.7777777777777778
s_082,1.0,0.8888888888888888
s_086,0.8888888888888888,0.8888888888888888
s_087,0.8888888888888888,1.0
s_091,1.0,0.8888888888888888
s_093,1.0,0.8888888888888888
s_095,1.0,1.0
s_096,0.8888888888888888,0.6666666666666666
s_097,0.6666666666666666,0.6666666666666666
